2020 National Employment Matrix title,2020 National Employment Matrix code,Occupation type,"Employment, 2020","Employment, 2030","Employment change, 2020–30","Percent employment change, 2020–30","Percent self employed, 2020","Occupational openings, 2020–30 annual average","Median annual wage, 2021(1)",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
Computer occupations,15-1200,Summary,4985.3,5652.9,667.6,13.4,10.1,441.5,"$97,430",—,—,—
Computer and information analysts,15-1210,Summary,749.1,838.9,89.8,12.0,2.4,63.9,"$99,680",—,—,—
Computer systems analysts,15-1211,Line item,607.8,650.6,42.8,7.0,2.9,47.5,"$99,270",Bachelor's degree,None,None
Information security analysts,15-1212,Line item,141.2,188.3,47.1,33.3,0.3,16.3,"$102,600",Bachelor's degree,Less than 5 years,None
Computer and information research scientists,15-1221,Line item,33.0,40.2,7.2,21.9,3.7,3.2,"$131,490",Master's degree,None,None
Computer support specialists,15-1230,Summary,844.6,916.8,72.2,8.6,0.9,70.4,"$57,910",—,—,—
Computer network support specialists,15-1231,Line item,189.8,204.0,14.2,7.5,0.9,15.5,"$62,760",Associate's degree,None,None
Computer user support specialists,15-1232,Line item,654.8,712.8,58.0,8.9,0.9,54.8,"$49,770","Some college, no degree",None,None
Database and network administrators and architects,15-1240,Summary,683.4,724.4,41.0,6.0,4.9,49.8,"$98,680",—,—,—
Computer network architects,15-1241,Line item,165.2,174.2,9.0,5.5,2.1,11.0,"$120,520",Bachelor's degree,5 years or more,None
Network and computer systems administrators,15-1244,Line item,350.3,369.1,18.8,5.4,0.4,24.9,"$80,600",Bachelor's degree,None,None
Database administrators and architects,15-1245,Line item,168.0,181.2,13.2,7.8,16.9,13.9,—,Bachelor's degree,None,None
"Software and web developers, programmers, and testers",15-1250,Summary,2233.0,2649.6,416.6,18.7,17.1,216.8,"$102,930",—,—,—
Computer programmers,15-1251,Line item,185.7,167.3,-18.3,-9.9,2.2,9.7,"$93,000",Bachelor's degree,None,None
Software developers and software quality assurance analysts and testers,15-1256,Line item,1847.9,2257.4,409.5,22.2,18.5,189.2,—,Bachelor's degree,None,None
Web developers and digital interface designers,15-1257,Line item,199.4,224.9,25.5,12.8,17.7,17.9,—,Bachelor's degree,None,None
"Computer occupations, all other",15-1299,Line item,442.2,483.0,40.7,9.2,14.0,37.5,—,Bachelor's degree,None,None
Mathematical science occupations,15-2000,Summary,239.8,307.0,67.2,28.0,1.5,24.8,"$98,680",—,—,—
Actuaries,15-2011,Line item,27.7,34.5,6.8,24.5,2.0,2.4,"$105,900",Bachelor's degree,None,Long-term on-the-job training
Mathematicians,15-2021,Line item,2.7,2.8,0.1,2.7,—,0.2,"$108,100",Master's degree,None,None
Operations research analysts,15-2031,Line item,104.1,129.7,25.6,24.6,0.3,10.2,"$82,360",Bachelor's degree,None,None
Statisticians,15-2041,Line item,42.0,56.9,14.9,35.4,2.3,5.0,"$95,570",Master's degree,None,None
"Data scientists and mathematical science occupations, all other",15-2098,Line item,63.2,83.0,19.8,31.4,2.8,7.1,"$100,480",Bachelor's degree,None,None
Architecture and engineering occupations,17-0000,Summary,2603.0,2748.9,146.0,5.6,2.1,207.4,"$79,840",—,—,—
"Architects, surveyors, and cartographers",17-1000,Summary,209.6,214.9,5.3,2.6,12.8,16.2,"$77,670",—,—,—
"Architects, except naval",17-1010,Summary,150.4,154.3,3.9,2.6,16.1,11.0,"$79,380",—,—,—
"Architects, except landscape and naval",17-1011,Line item,126.7,130.7,3.9,3.1,16.8,9.4,"$80,180",Bachelor's degree,None,Internship/residency
Landscape architects,17-1012,Line item,23.7,23.6,-0.1,-0.3,12.7,1.6,"$67,950",Bachelor's degree,None,Internship/residency
"Surveyors, cartographers, and photogrammetrists",17-1020,Summary,59.2,60.6,1.5,2.5,4.2,5.2,"$61,950",—,—,—
Cartographers and photogrammetrists,17-1021,Line item,13.2,13.9,0.7,5.4,3.0,1.2,"$68,900",Bachelor's degree,None,None
Surveyors,17-1022,Line item,46.0,46.7,0.7,1.6,4.6,4.0,"$61,600",Bachelor's degree,None,Internship/residency
Engineers,17-2000,Summary,1719.4,1847.0,127.7,7.4,1.3,125.4,"$99,040",—,—,—
Aerospace engineers,17-2011,Line item,61.4,66.5,5.1,8.3,—,4.0,"$122,270",Bachelor's degree,None,None
Agricultural engineers,17-2021,Line item,1.5,1.5,0.1,4.5,—,0.1,"$82,640",Bachelor's degree,None,None
Bioengineers and biomedical engineers,17-2031,Line item,19.3,20.5,1.1,5.9,—,1.4,"$97,410",Bachelor's degree,None,None
Chemical engineers,17-2041,Line item,26.3,28.7,2.4,9.3,1.0,1.8,"$105,550",Bachelor's degree,None,None
Civil engineers,17-2051,Line item,309.8,335.1,25.3,8.2,1.4,25.0,"$88,050",Bachelor's degree,None,None
Computer hardware engineers,17-2061,Line item,66.2,67.3,1.0,1.5,1.2,4.5,"$128,170",Bachelor's degree,None,None
Electrical and electronics engineers,17-2070,Summary,313.2,333.6,20.4,6.5,0.7,22.7,"$101,780",—,—,—
Electrical engineers,17-2071,Line item,188.0,200.7,12.7,6.8,0.8,13.7,"$100,420",Bachelor's degree,None,None
"Electronics engineers, except computer",17-2072,Line item,125.2,132.9,7.7,6.2,0.7,9.0,"$104,820",Bachelor's degree,None,None
Environmental engineers,17-2081,Line item,52.3,54.3,1.9,3.7,2.3,4.0,"$96,820",Bachelor's degree,None,None
"Industrial engineers, including health and safety",17-2110,Summary,316.1,357.6,41.4,13.1,0.1,25.0,"$95,300",—,—,—
"Health and safety engineers, except mining safety engineers and inspectors",17-2111,Line item,24.1,25.6,1.5,6.1,—,1.7,"$99,040",Bachelor's degree,None,None
Industrial engineers,17-2112,Line item,292.0,332.0,40.0,13.7,0.1,23.3,"$95,300",Bachelor's degree,None,None
Marine engineers and naval architects,17-2121,Line item,9.8,10.2,0.4,3.9,3.7,0.5,"$93,370",Bachelor's degree,None,None
Materials engineers,17-2131,Line item,25.1,27.2,2.1,8.4,—,1.8,"$98,300",Bachelor's degree,None,None
Mechanical engineers,17-2141,Line item,299.2,320.1,20.9,7.0,0.8,20.2,"$95,300",Bachelor's degree,None,None
"Mining and geological engineers, including mining safety engineers",17-2151,Line item,6.3,6.6,0.2,3.9,—,0.4,"$97,090",Bachelor's degree,None,None
Nuclear engineers,17-2161,Line item,17.2,15.8,-1.5,-8.4,6.3,0.9,"$120,380",Bachelor's degree,None,None
Petroleum engineers,17-2171,Line item,28.5,30.7,2.2,7.6,0.3,2.1,"$130,850",Bachelor's degree,None,None
"Engineers, all other",17-2199,Line item,167.1,171.6,4.4,2.7,5.9,11.0,"$100,640",Bachelor's degree,None,None
"Drafters, engineering technicians, and mapping technicians",17-3000,Summary,674.0,687.0,13.0,1.9,0.8,65.8,"$60,290",—,—,—
Drafters,17-3010,Summary,191.8,188.2,-3.6,-1.9,1.7,17.5,"$60,290",—,—,—
Architectural and civil drafters,17-3011,Line item,99.9,99.0,-0.9,-0.9,0.5,9.3,"$60,340",Associate's degree,None,None
Electrical and electronics drafters,17-3012,Line item,24.0,24.5,0.6,2.3,3.1,2.3,"$61,510",Associate's degree,None,None
Mechanical drafters,17-3013,Line item,53.6,51.0,-2.5,-4.7,3.1,4.7,"$60,200",Associate's degree,None,None
"Drafters, all other",17-3019,Line item,14.4,13.6,-0.8,-5.4,3.0,1.2,"$54,240",Associate's degree,None,None
"Engineering technologists and technicians, except drafters",17-3020,Summary,332.7,343.1,10.4,3.1,0.3,32.0,"$60,690",—,—,—
Aerospace engineering and operations technologists and technicians,17-3021,Line item,11.9,12.9,1.1,8.9,—,1.2,"$73,580",Associate's degree,None,None
Civil engineering technologists and technicians,17-3022,Line item,68.8,70.0,1.2,1.8,0.2,6.5,"$58,320",Associate's degree,None,None
Electrical and electronic engineering technologists and technicians,17-3023,Line item,117.0,118.9,1.9,1.6,0.4,11.0,"$63,640",Associate's degree,None,None
Electro-mechanical and mechatronics technologists and technicians,17-3024,Line item,13.4,13.1,-0.2,-1.7,—,1.2,"$60,360",Associate's degree,None,None
Environmental engineering technologists and technicians,17-3025,Line item,17.3,18.6,1.3,7.8,—,1.8,"$48,390",Associate's degree,None,None
Industrial engineering technologists and technicians,17-3026,Line item,64.1,66.9,2.8,4.4,0.3,6.3,"$60,220",Associate's degree,None,None
Mechanical engineering technologists and technicians,17-3027,Line item,40.4,42.7,2.3,5.7,0.3,4.0,"$60,460",Associate's degree,None,None
Surveying and mapping technicians,17-3031,Line item,54.8,56.9,2.0,3.7,2.2,7.0,"$46,910",High school diploma or equivalent,None,Moderate-term on-the-job training
"Calibration technologists and technicians and engineering technologists and technicians, except drafters, all other",17-3098,Line item,94.7,98.8,4.1,4.4,0.2,9.3,"$61,730",Associate's degree,None,None
"Life, physical, and social science occupations",19-0000,Summary,1444.0,1557.8,113.8,7.9,5.2,147.5,"$72,740",—,—,—
Life scientists,19-1000,Summary,346.1,383.1,37.0,10.7,3.1,33.6,"$80,140",—,—,—
Agricultural and food scientists,19-1010,Summary,37.4,40.6,3.2,8.7,6.5,4.4,"$74,160",—,—,—
Animal scientists,19-1011,Line item,3.5,3.9,0.3,9.7,5.3,0.4,"$65,090",Bachelor's degree,None,None
Food scientists and technologists,19-1012,Line item,15.0,16.1,1.0,6.7,8.6,1.7,"$78,340",Bachelor's degree,None,None
Soil and plant scientists,19-1013,Line item,18.8,20.7,1.9,10.0,5.1,2.3,"$66,750",Bachelor's degree,None,None
Biological scientists,19-1020,Summary,121.0,126.3,5.3,4.4,3.7,11.2,"$82,680",—,—,—
Biochemists and biophysicists,19-1021,Line item,34.8,36.5,1.6,4.7,5.6,3.2,"$102,270",Doctoral or professional degree,None,None
Microbiologists,19-1022,Line item,21.4,22.4,1.0,4.6,4.3,2.0,"$79,260",Bachelor's degree,None,None
Zoologists and wildlife biologists,19-1023,Line item,18.5,19.5,1.0,5.2,1.4,1.7,"$64,650",Bachelor's degree,None,None
"Biological scientists, all other",19-1029,Line item,46.2,47.9,1.7,3.7,2.8,4.2,"$82,530",Bachelor's degree,None,None
Conservation scientists and foresters,19-1030,Summary,39.0,41.9,2.9,7.5,8.3,4.0,"$63,750",—,—,—
Conservation scientists,19-1031,Line item,25.3,26.8,1.5,6.1,7.1,2.5,"$63,750",Bachelor's degree,None,None
Foresters,19-1032,Line item,13.7,15.1,1.4,10.0,10.5,1.4,"$64,110",Bachelor's degree,None,None
Medical scientists,19-1040,Summary,141.8,166.7,24.9,17.6,0.4,13.4,"$90,640",—,—,—
Epidemiologists,19-1041,Line item,7.8,10.2,2.3,29.6,—,0.9,"$78,830",Master's degree,None,None
"Medical scientists, except epidemiologists",19-1042,Line item,133.9,156.6,22.6,16.9,0.5,12.6,"$95,310",Doctoral or professional degree,None,None
"Life scientists, all other",19-1099,Line item,7.0,7.6,0.6,8.4,—,0.6,"$81,500",Bachelor's degree,None,None
Physical scientists,19-2000,Summary,269.1,287.6,18.5,6.9,1.3,26.6,"$82,090",—,—,—
Astronomers and physicists,19-2010,Summary,19.5,21.1,1.6,8.3,0.6,1.5,"$147,450",—,—,—
Astronomers,19-2011,Line item,2.1,2.2,0.1,4.5,—,0.2,"$128,160",Doctoral or professional degree,None,None
Physicists,19-2012,Line item,17.4,18.9,1.5,8.8,0.6,1.3,"$152,430",Doctoral or professional degree,None,None
Atmospheric and space scientists,19-2021,Line item,10.7,11.6,0.9,8.3,—,1.0,"$94,570",Bachelor's degree,None,None
Chemists and materials scientists,19-2030,Summary,92.4,98.4,6.0,6.5,0.3,9.1,"$79,760",—,—,—
Chemists,19-2031,Line item,85.4,91.1,5.7,6.7,0.3,8.4,"$79,430",Bachelor's degree,None,None
Materials scientists,19-2032,Line item,7.1,7.3,0.3,3.9,—,0.7,"$100,090",Bachelor's degree,None,None
Environmental scientists and geoscientists,19-2040,Summary,122.6,132.3,9.7,7.9,0.3,13.2,"$78,340",—,—,—
"Environmental scientists and specialists, including health",19-2041,Line item,87.1,94.4,7.3,8.4,0.2,9.4,"$76,530",Bachelor's degree,None,None
"Geoscientists, except hydrologists and geographers",19-2042,Line item,29.0,31.0,2.0,7.0,0.8,3.1,"$83,680",Bachelor's degree,None,None
Hydrologists,19-2043,Line item,6.5,6.9,0.4,5.6,—,0.7,"$84,030",Bachelor's degree,None,None
"Physical scientists, all other",19-2099,Line item,23.9,24.2,0.2,1.0,11.2,1.8,"$104,100",Bachelor's degree,None,None
Social scientists and related workers,19-3000,Summary,312.3,334.2,21.9,7.0,17.4,25.8,"$80,890",—,—,—
Economists,19-3011,Line item,18.6,21.0,2.4,13.1,—,1.6,"$105,630",Master's degree,None,None
Survey researchers,19-3022,Line item,12.7,13.2,0.5,4.3,15.2,1.2,"$59,740",Master's degree,None,None
Psychologists,19-3030,Summary,178.9,192.4,13.5,7.6,27.0,13.4,"$81,040",—,—,—
"Clinical, counseling, and school psychologists",19-3031,Line item,118.8,131.1,12.3,10.4,4.4,9.4,"$79,510",Doctoral or professional degree,None,Internship/residency
Industrial-organizational psychologists,19-3032,Line item,4.9,5.0,0.1,2.2,82.8,0.3,"$105,310",Master's degree,None,Internship/residency
"Psychologists, all other",19-3039,Line item,55.2,56.3,1.1,2.0,70.6,3.7,"$102,900",Master's degree,None,Internship/residency
Sociologists,19-3041,Line item,3.0,3.1,0.1,4.8,10.8,0.3,"$92,910",Master's degree,None,None
Urban and regional planners,19-3051,Line item,39.1,41.8,2.7,6.8,0.5,3.7,"$78,500",Master's degree,None,None
Miscellaneous social scientists and related workers,19-3090,Summary,60.2,62.7,2.6,4.3,6.1,5.6,"$82,390",—,—,—
Anthropologists and archeologists,19-3091,Line item,8.5,9.1,0.6,7.4,12.1,0.8,"$61,910",Master's degree,None,None
Geographers,19-3092,Line item,1.6,1.7,0.0,1.1,—,0.1,"$85,220",Bachelor's degree,None,None
Historians,19-3093,Line item,3.1,3.3,0.2,5.5,6.1,0.3,"$63,940",Master's degree,None,None
Political scientists,19-3094,Line item,7.0,7.6,0.6,8.6,6.8,0.7,"$122,510",Master's degree,None,None
"Social scientists and related workers, all other",19-3099,Line item,39.9,41.1,1.2,2.9,4.8,3.7,"$84,430",Bachelor's degree,None,None
"Life, physical, and social science technicians",19-4000,Summary,397.2,424.8,27.6,7.0,1.7,51.9,"$48,370",—,—,—
Agricultural and food science technicians,19-4010,Line item,26.6,28.7,2.1,7.9,0.7,3.7,"$44,700",Associate's degree,None,Moderate-term on-the-job training
Biological technicians,19-4021,Line item,87.6,93.5,5.9,6.7,0.1,11.8,"$48,140",Bachelor's degree,None,None
Chemical technicians,19-4031,Line item,65.1,68.4,3.3,5.0,1.7,7.5,"$48,990",Associate's degree,None,Moderate-term on-the-job training
Environmental science and geoscience technicians,19-4040,Summary,51.0,56.1,5.1,9.9,3.5,7.0,"$47,850",—,—,—
"Environmental science and protection technicians, including health",19-4042,Line item,34.2,37.8,3.6,10.6,3.3,4.7,"$47,370",Associate's degree,None,None
Geological and hydrologic technicians,19-4045,Line item,16.8,18.3,1.5,8.7,4.0,2.3,—,Associate's degree,None,Moderate-term on-the-job training
Nuclear technicians,19-4051,Line item,6.6,5.8,-0.8,-12.4,4.6,0.7,"$99,340",Associate's degree,None,Moderate-term on-the-job training
Social science research assistants,19-4061,Line item,40.4,43.8,3.4,8.4,2.8,5.4,"$49,720",Bachelor's degree,None,None
Forest and conservation technicians,19-4071,Line item,33.0,33.3,0.2,0.7,0.2,4.0,"$39,290",Associate's degree,None,None
"Miscellaneous life, physical, and social science technicians",19-4090,Summary,86.9,95.3,8.5,9.7,2.4,11.8,"$50,370",—,—,—
Forensic science technicians,19-4092,Line item,17.2,19.8,2.7,15.6,0.5,2.5,"$61,930",Bachelor's degree,None,Moderate-term on-the-job training
"Life, physical, and social science technicians, all other",19-4099,Line item,69.7,75.5,5.8,8.3,2.9,9.3,—,Associate's degree,None,None
Occupational health and safety specialists and technicians,19-5000,Summary,119.2,128.0,8.8,7.4,0.2,9.6,"$74,870",—,—,—
Occupational health and safety specialists,19-5011,Line item,98.0,104.8,6.8,7.0,0.2,7.8,"$77,560",Bachelor's degree,None,None
Occupational health and safety technicians,19-5012,Line item,21.3,23.2,1.9,9.0,0.3,1.8,"$51,120",High school diploma or equivalent,None,Moderate-term on-the-job training
Community and social service occupations,21-0000,Summary,2804.4,3151.3,346.9,12.4,3.7,327.5,"$48,410",—,—,—
"Counselors, social workers, and other community and social service specialists",21-1000,Summary,2328.0,2663.7,335.7,14.4,3.7,274.6,"$48,400",—,—,—
Counselors,21-1010,Summary,881.5,1021.2,139.7,15.8,7.6,101.3,"$49,360",—,—,—
"Educational, guidance, and career counselors and advisors",21-1012,Line item,322.0,359.0,37.0,11.5,2.4,35.0,"$60,510",Master's degree,None,None
Marriage and family therapists,21-1013,Line item,73.2,85.1,12.0,16.4,14.7,8.5,"$49,880",Master's degree,None,Internship/residency
Rehabilitation counselors,21-1015,Line item,104.5,115.4,10.8,10.4,3.0,11.2,"$38,560",Master's degree,None,None
